	!Sample_geo_accession	GSM388904	GSM388905	GSM388906	GSM388907	GSM388908	GSM388909	GSM388910	GSM388911	GSM388912	GSM388913	GSM388914	GSM388915	GSM388916	GSM388917	GSM388918	GSM388919	GSM388920	GSM388921	GSM388922	GSM388923	GSM388924	GSM388925	GSM388926	GSM388927	GSM388928	GSM388929	GSM388930	GSM388931	GSM1326822	GSM1326823	GSM1326824	GSM1326825	GSM1326826	GSM1326827	GSM1326828	GSM1326829	GSM1326830	GSM1326831	GSM1326832	GSM1326833	GSM1326834	GSM1326835	GSM1326836	GSM1326837	GSM1326838	GSM1326839	GSM1326840	GSM1326841	GSM1326842	GSM1326843	GSM1326844	GSM1326845	chr	start
0	cg00000029	28.9577	22.0209	46.5091	9.2831	51.2861	39.2977	47.4266	55.2172	60.3811	28.5411	63.7857	26.6636	52.3838	57.6821	44.4411	41.098	49.0181	74.8703	45.3204	36.2658	44.0991	36.5844	6.3025	50.3162	39.2684	25.8096	52.147	47.1661	0.2486	0.2329	0.2849	0.2494	0.2436	0.2629	0.3402	0.3242	0.2325	0.44	0.2209	0.2243	0.1723	0.2267	0.2064	0.2486	0.3127	0.3131	0.3579	0.3479	0.5384	0.2323	0.4359	0.3181	16	53468112
1	cg00000108	11.6362	10.5378	5.0005	1.51	7.5178	8.192	7.6092	4.4519	4.7923	2.1047	7.1817	10.7032	8.6697	10.644	12.3563	6.5514	4.9997	7.3874	13.792	16.0574	9.0828	10.8528	1.0316	10.3396	3.9144	13.7497	11.0356	5.5005	0.9772	0.9821	0.9727	0.9761	0.9791	0.9759	0.9745	0.9779	0.9831	0.935	0.9823	0.9785	0.9882	0.9891	0.9876	0.9846	0.9784	0.9768	0.974	0.9719	0.9438	0.9627	0.9634	0.9695	3	37459206
2	cg00000109	7.914	5.0206	1.0584	0.3234	4.2678	5.7824	3.7225	0.5977	1.6539	0.3116	1.7445	6.8099	3.631	4.5402	7.029	2.5764	0.7874	0.8427	5.8738	5.8242	2.7761	4.9716	0.9957	2.666	1.4363	8.832	3.7562	0.8644	0.919	0.9102	0.9359	0.9442	0.918	0.9198	0.936	0.9398	0.9134	0.9451	0.8625	0.9073	0.9535	0.8966	0.9447	0.9331	0.9115	0.887	0.9486	0.9118	0.9463	0.9287	0.9317	0.9482	3	171916037
3	cg00000165	575.5533	842.7474	791.2754	404.4128	706.9224	556.8145	550.8667	1775.6984	1178.5259	1629.0257	1455.8449	656.7224	631.6961	972.9828	568.4956	855.5144	948.9586	1707.7609	577.748	777.2142	546.2495	555.3252	140.2362	755.2133	710.4297	681.5396	538.0011	993.7383	0.1297	0.1345	0.1415	0.1344	0.1122	0.1766	0.1228	0.1054	0.0937	0.1048	0.1662	0.083	0.1147	0.1035	0.1175	0.0999	0.113	0.1402	0.1358	0.1209	0.1219	0.133	0.1709	0.1308	1	91194674
4	cg00000236	29.2295	34.1896	23.8614	3.3845	39.7239	31.7652	33.2927	27.9892	34.3399	12.0481	49.723	38.2147	37.6638	56.2063	35.3303	33.4787	25.05	53.0666	48.3083	46.3948	33.2863	36.7166	0.9075	36.1942	24.1059	43.7534	34.0116	28.077	0.8169	0.7482	0.8069	0.7287	0.7904	0.6958	0.866	0.8503	0.8092	0.8576	0.7716	0.7166	0.8523	0.7173	0.7231	0.7958	0.8177	0.781	0.8455	0.81	0.837	0.6851	0.7942	0.8349	8	42263294
5	cg00000289	2.0309	2.5708	0.315	0.2198	0.698	1.831	1.8133	0.3651	0.092	0.3468	0.1007	2.7583	0.7287	0.349	2.6356	0.1718	-0.0178	0.2588	0.9229	2.0993	0.8832	1.6183	1.2591	0.1778	-0.2304	2.5918	0.7959	-0.0579	0.2726	0.5572	0.7364	0.6087	0.5587	0.4175	0.7002	0.7158	0.3663	0.3165	0.2799	0.6188	0.335	0.4084	0.4897	0.411	0.516	0.5801	0.702	0.648	0.7183	0.6706	0.4914	0.6144	14	69341139
6	cg00000292	0.131	0.08	0.2696	-0.2734	0.1805	0.1849	0.1635	0.3325	0.3939	-0.1439	0.3316	0.1617	0.2544	0.2492	0.0934	0.1474	0.2706	0.208	0.0992	0.1766	0.2397	0.135	0.6182	0.1368	0.9319	0.0731	0.231	0.3814	0.9205	0.8181	0.9064	0.8237	0.858	0.7336	0.864	0.8203	0.9115	0.9519	0.874	0.8201	0.8246	0.8035	0.884	0.828	0.8459	0.8736	0.834	0.8728	0.8428	0.8622	0.8931	0.8556	16	28890100
7	cg00000321	205.5667	298.0363	550.4201	274.7715	457.0666	289.3204	339.2565	833.5467	699.858	789.0562	682.0344	245.3018	416.0106	556.357	273.8065	437.1057	858.728	892.6275	299.9614	234.9753	300.6037	239.3084	128.2572	341.7492	221.271	222.6907	291.7924	677.7493	0.1821	0.2174	0.1858	0.1951	0.1266	0.1207	0.1362	0.1979	0.0991	0.0847	0.1059	0.1308	0.1239	0.095	0.1392	0.1481	0.1555	0.1235	0.2035	0.1442	0.2011	0.1555	0.1548	0.1757	8	41167802
8	cg00000363	90.0816	67.0498	120.6369	15.4038	72.8132	74.5429	75.7418	82.9591	110.3726	28.039	97.0705	89.6749	105.6129	133.6459	105.8776	92.5269	107.9094	168.2145	123.5736	134.5377	115.9584	94.9824	10.8147	103.3097	46.0736	114.9256	92.3159	134.3784	0.1507	0.1536	0.1806	0.1435	0.1421	0.1354	0.1662	0.1595	0.1127	0.099	0.1038	0.1212	0.1158	0.1417	0.1533	0.1165	0.1343	0.1764	0.1712	0.141	0.1681	0.1479	0.156	0.1592	1	230560793
9	cg00000622	233.9777	500.8054	157.3332	32.6305	195.5933	192.964	243.0894	171.8915	197.5027	71.969	285.7917	323.6342	237.4184	331.8951	240.7377	165.9025	225.1924	168.7398	231.9622	331.6796	223.9037	219.9111	6.3395	325.3114	97.8392	297.0613	160.4245	160.4964	0.026	0.0261	0.0227	0.0211	0.0298	0.0152	0.025	0.0237	0.005	0.019	0.0101	0.0116	0.0148	0.009	0.0136	0.0105	0.0228	0.0362	0.0243	0.0218	0.0277	0.0255	0.0282	0.0233	15	23034447
