!Sample_geo_accession	GSM388904	GSM388905	GSM388906
cg00000029	0.213813093	0.271885681	0.879515914
cg00000108	0.510586269	0.061592358	0.45643907
cg00000109	0.660470373	0.030756823	0.502554612
cg00000165	0.429030018	0.769195472	0.703665014
cg00000236	0.512392286	0.411897523	0.575424206
cg00000289	0.507246602	0.078903916	0.123310734
cg00000292	0.525384221	0.479162895	0.081065991
cg00000321	0.088567426	0.937654512	0.615006584
cg00000363	0.173414527	0.578090891	0.41745494
cg00000622	0.301795489	0.67215213	0.597700472
cg00000658	0.969155503	0.977828784	0.943318839
cg00000714	0.94565771	0.242655325	0.128017989
cg00000721	0.432209458	0.012930239	0.514745145
cg00000734	0.565644649	0.413421233	0.365546184
cg00000769	0.402749683	0.674513425	0.233936965
cg00000807	0.17141983	0.258599233	0.433581817
cg00000884	0.504595597	0.881273182	0.189735295
cg00000905	0.820186642	0.808048877	0.215886368
cg00000924	0.400341932	0.516092891	0.062300023
cg00000948	0.857910902	0.3707884	0.470583302
cg00000957	0.174832322	0.335154083	0.555789761
cg00001099	0.314377146	0.129702322	0.235120673
cg00001245	0.527363444	0.855370973	0.309409495
cg00001249	0.283196568	0.611703722	0.062660296
cg00001261	0.971790677	0.291799656	0.660443497
cg00001269	0.46339736	0.687004891	0.262275766
